interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,education,state,congress_district,age_group,vote_trump,vote_biden
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$100,000 to $124,999",Masters degree,IL,IL06,58 to 67,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,South,Not Hispanic,white,"$100,000 to $124,999",Masters degree,FL,FL14,38 to 47,1,0
Only now and then,Not registered,Hillary Clinton,"No, I am not eligible to vote",Joe Biden,Conservative,employed,The United States,Female,South,Not Hispanic,black/african american/negro,"$100,000 to $124,999",Doctorate degree,DC,DC00,68 to 77,0,1
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$55,000 to $59,999",Doctorate degree,TX,TX14,38 to 47,1,0
Hardly at all,Registered,Gary Johnson,Not sure,Donald Trump,Not Sure,unemployed,The United States,Female,Midwest,Not Hispanic,white,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",IN,IN09,18 to 27,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,Midwest,Not Hispanic,white,"$15,000 to $19,999","College Degree (such as B.A., B.S.)",OH,OH03,48 to 57,1,0
Only now and then,Registered,Was not eligible to vote,"No, I will not vote but I am eligible",I would not vote,Moderate,employed,The United States,Male,Midwest,Not Hispanic,black/african american/negro,"$50,000 to $54,999",High school graduate,OH,OH09,18 to 27,0,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Male,West,Not Hispanic,white,"$50,000 to $54,999",Associate Degree,AZ,AZ05,58 to 67,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,Northeast,Not Hispanic,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",NJ,NJ05,48 to 57,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Male,West,Not Hispanic,white,"$40,000 to $44,999","Completed some college, but no degree",CO,CO01,58 to 67,0,1
Most of the time,Registered,Donald Trump,Not sure,I am not sure/don't know,Moderate,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$25,000 to $29,999",Associate Degree,MA,MA01,68 to 77,0,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,Another country,Male,Northeast,Not Hispanic,other asian or pacific islander,"$40,000 to $44,999",Masters degree,PA,PA18,48 to 57,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,Midwest,Not Hispanic,white,"$40,000 to $44,999","Completed some college, but no degree",OH,OH07,48 to 57,0,1
Hardly at all,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Not Sure,not in labor force,The United States,Female,South,Other Hispanic,white,"$45,000 to $49,999",High school graduate,NC,NC07,18 to 27,0,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,not in labor force,The United States,Male,West,Not Hispanic,japanese,"$25,000 to $29,999",Associate Degree,HI,HI02,68 to 77,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,NA,employed,The United States,Male,Northeast,Not Hispanic,white,"$95,000 to $99,999",Masters degree,CT,CT02,48 to 57,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,South,Not Hispanic,white,"$150,000 to $174,999",Masters degree,FL,FL10,28 to 37,0,1
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,Midwest,Not Hispanic,chinese,NA,"College Degree (such as B.A., B.S.)",IL,IL10,58 to 67,0,1
Some of the time,Don't know,"Did not vote, but was eligible",Not sure,Joe Biden,Conservative,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",WI,WI08,58 to 67,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,unemployed,The United States,Female,Northeast,Not Hispanic,black/african american/negro,"$60,000 to $64,999",Associate Degree,NJ,NJ02,58 to 67,0,1
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"Less than $14,999",Other post high school vocational training,TX,TX01,48 to 57,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Male,South,Not Hispanic,white,"$80,000 to $84,999",Associate Degree,TX,TX16,68 to 77,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Someone else,Conservative,employed,The United States,Female,Midwest,Not Hispanic,white,"$55,000 to $59,999",Masters degree,IN,IN04,78 to 87,0,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Male,West,Not Hispanic,white,"$100,000 to $124,999",Masters degree,MT,MT00,78 to 87,1,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$15,000 to $19,999","Completed some college, but no degree",PA,PA18,58 to 67,0,1
Only now and then,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Moderate,not in labor force,The United States,Female,South,Not Hispanic,white,"$20,000 to $24,999",Associate Degree,TX,TX36,48 to 57,0,0
Most of the time,Registered,Hillary Clinton,NA,Joe Biden,Liberal,employed,The United States,Female,West,Not Hispanic,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",CA,CA20,38 to 47,0,1
Some of the time,Registered,Don't recall,"Yes, I will vote",I am not sure/don't know,Conservative,unemployed,The United States,Male,West,Not Hispanic,white,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",CA,CA32,68 to 77,0,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,South,Not Hispanic,white,NA,"Completed some college, but no degree",TX,TX11,58 to 67,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,West,Not Hispanic,chinese,"$40,000 to $44,999","College Degree (such as B.A., B.S.)",CA,CA27,78 to 87,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$45,000 to $49,999","Completed some college, but no degree",TN,TN03,58 to 67,1,0
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,South,Not Hispanic,white,"$30,000 to $34,999","Completed some college, but no degree",NC,NC01,58 to 67,0,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,Northeast,Not Hispanic,white,"$15,000 to $19,999",High school graduate,PA,PA12,18 to 27,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,Northeast,Other Hispanic,"other race, nec","$75,000 to $79,999",Associate Degree,CT,CT05,38 to 47,0,1
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,South,Not Hispanic,black/african american/negro,"$100,000 to $124,999",Doctorate degree,TN,TN02,28 to 37,1,0
Only now and then,Not registered,Was not eligible to vote,Not sure,Joe Biden,Liberal,not in labor force,The United States,Female,South,Not Hispanic,white,"$15,000 to $19,999",High school graduate,TX,TX31,58 to 67,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,Northeast,Not Hispanic,white,NA,"Completed some college, but no degree",NJ,NJ04,48 to 57,1,0
Only now and then,Registered,Donald Trump,Not sure,I am not sure/don't know,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$45,000 to $49,999",High school graduate,PA,PA17,18 to 27,0,0
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",I am not sure/don't know,Conservative,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",NJ,NJ07,58 to 67,0,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,South,Not Hispanic,white,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",TN,TN03,58 to 67,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,Midwest,Not Hispanic,white,"$100,000 to $124,999","Completed some college, but no degree",IL,IL03,58 to 67,0,1
Most of the time,Not registered,Was not eligible to vote,Not sure,Donald Trump,Very Liberal,employed,Another country,Female,West,Not Hispanic,other asian or pacific islander,"$70,000 to $74,999",Masters degree,OR,OR01,28 to 37,1,0
Some of the time,Not registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,unemployed,The United States,Male,West,Mexican,"other race, nec","$55,000 to $59,999","Completed some college, but no degree",CA,CA43,28 to 37,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,Northeast,Not Hispanic,white,"Less than $14,999",High school graduate,CT,CT01,38 to 47,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$55,000 to $59,999","Completed some college, but no degree",WI,WI02,58 to 67,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,Northeast,Not Hispanic,white,NA,"College Degree (such as B.A., B.S.)",MA,MA09,68 to 77,1,0
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,South,Not Hispanic,white,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",FL,FL11,28 to 37,0,1
Some of the time,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Joe Biden,Liberal,not in labor force,The United States,Male,West,Not Hispanic,black/african american/negro,"$250,000 and above",High school graduate,NV,NV03,18 to 27,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$15,000 to $19,999","Completed some college, but no degree",VT,VT00,58 to 67,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",NY,NY26,28 to 37,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Moderate,employed,The United States,Female,Northeast,Not Hispanic,white,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",NJ,NJ03,48 to 57,0,0
Most of the time,Not registered,"Did not vote, but was eligible",Not sure,Donald Trump,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",PA,PA05,28 to 37,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,South,Not Hispanic,white,"$15,000 to $19,999",High school graduate,KY,KY05,28 to 37,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,South,Not Hispanic,white,"$25,000 to $29,999","Completed some college, but no degree",MD,MD05,58 to 67,1,0
Some of the time,Registered,Donald Trump,Not sure,I am not sure/don't know,Moderate,employed,The United States,Female,Midwest,Not Hispanic,white,"$45,000 to $49,999",Associate Degree,IL,IL17,58 to 67,0,0
Only now and then,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Joe Biden,Moderate,unemployed,The United States,Male,Midwest,Not Hispanic,black/african american/negro,"Less than $14,999",Other post high school vocational training,IL,IL17,28 to 37,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$40,000 to $44,999",Masters degree,MO,MO01,68 to 77,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Female,South,Not Hispanic,white,"$175,000 to $199,999",Masters degree,FL,FL06,48 to 57,1,0
Hardly at all,Not registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,Another country,Female,West,Other Hispanic,white,"Less than $14,999","College Degree (such as B.A., B.S.)",CA,,38 to 47,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,West,Not Hispanic,white,"$95,000 to $99,999","Completed some college, but no degree",MT,MT00,68 to 77,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,Midwest,Not Hispanic,black/african american/negro,"$15,000 to $19,999",Completed some high school,WI,WI08,38 to 47,0,1
Some of the time,Registered,Hillary Clinton,"No, I will not vote but I am eligible",Joe Biden,Liberal,unemployed,The United States,Male,South,Not Hispanic,white,"$125,000 to $149,999",High school graduate,SC,SC04,48 to 57,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,Midwest,Not Hispanic,white,"$50,000 to $54,999","Completed some graduate, but no degree",IL,IL06,58 to 67,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,NA,The United States,Female,Midwest,Not Hispanic,white,"$150,000 to $174,999","Completed some college, but no degree",MO,MO02,58 to 67,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$70,000 to $74,999","Completed some college, but no degree",TX,TX10,58 to 67,1,0
Some of the time,Not registered,"Did not vote, but was eligible","No, I am not eligible to vote",Someone else,Liberal,employed,Another country,Male,Midwest,Not Hispanic,black/african american/negro,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",MO,MO01,28 to 37,0,0
Some of the time,Registered,"Did not vote, but was eligible",Not sure,Donald Trump,Conservative,employed,The United States,Female,Midwest,Not Hispanic,white,NA,"College Degree (such as B.A., B.S.)",OH,OH15,58 to 67,1,0
